Node_4d(x=57, y=100, floor='LL', building='RoyCarver') Node_4d(x=57, y=100, floor='LL', building='RoyCarver') normal 1
Node_4d(x=105, y=118, floor='LL', building='RoyCarver') Node_4d(x=108, y=110, floor='LL', building='RoyCarver') normal 1
Node_4d(x=105, y=118, floor='LL', building='RoyCarver') Node_4d(x=99, y=110, floor='LL', building='RoyCarver') normal 1
Node_4d(x=109, y=184, floor='LL', building='RoyCarver') Node_4d(x=109, y=184, floor='LL', building='RoyCarver') normal 1
Node_4d(x=109, y=184, floor='LL', building='RoyCarver') Node_4d(x=105, y=177, floor='LL', building='RoyCarver') normal 1
Node_4d(x=109, y=184, floor='LL', building='RoyCarver') Node_4d(x=113, y=177, floor='LL', building='RoyCarver') normal 1
Node_4d(x=109, y=184, floor='LL', building='RoyCarver') Node_4d(x=113, y=193, floor='LL', building='RoyCarver') door 1000
Node_4d(x=111, y=170, floor='LL', building='RoyCarver') Node_4d(x=111, y=170, floor='LL', building='RoyCarver') normal 1
Node_4d(x=111, y=170, floor='LL', building='RoyCarver') Node_4d(x=118, y=167, floor='LL', building='RoyCarver') normal 1
Node_4d(x=111, y=170, floor='LL', building='RoyCarver') Node_4d(x=105, y=164, floor='LL', building='RoyCarver') normal 1
Node_4d(x=111, y=218, floor='LL', building='RoyCarver') Node_4d(x=111, y=218, floor='LL', building='RoyCarver') normal 1
Node_4d(x=111, y=218, floor='LL', building='RoyCarver') Node_4d(x=104, y=214, floor='LL', building='RoyCarver') normal 1
Node_4d(x=111, y=218, floor='LL', building='RoyCarver') Node_4d(x=118, y=214, floor='LL', building='RoyCarver') normal 1
Node_4d(x=112, y=204, floor='LL', building='RoyCarver') Node_4d(x=112, y=204, floor='LL', building='RoyCarver') normal 1
Node_4d(x=112, y=204, floor='LL', building='RoyCarver') Node_4d(x=115, y=211, floor='LL', building='RoyCarver') normal 1
Node_4d(x=112, y=204, floor='LL', building='RoyCarver') Node_4d(x=106, y=198, floor='LL', building='RoyCarver') door 1000
Node_4d(x=112, y=204, floor='LL', building='RoyCarver') Node_4d(x=118, y=198, floor='LL', building='RoyCarver') normal 1
Node_4d(x=113, y=193, floor='LL', building='RoyCarver') Node_4d(x=113, y=193, floor='LL', building='RoyCarver') normal 1
Node_4d(x=113, y=193, floor='LL', building='RoyCarver') Node_4d(x=121, y=192, floor='LL', building='RoyCarver') normal 1
Node_4d(x=113, y=193, floor='LL', building='RoyCarver') Node_4d(x=106, y=198, floor='LL', building='RoyCarver') door 1000
Node_4d(x=113, y=193, floor='LL', building='RoyCarver') Node_4d(x=105, y=189, floor='LL', building='RoyCarver') normal 1
Node_4d(x=114, y=293, floor='LL', building='RoyCarver') Node_4d(x=114, y=293, floor='LL', building='RoyCarver') normal 1
Node_4d(x=114, y=293, floor='LL', building='RoyCarver') Node_4d(x=115, y=301, floor='LL', building='RoyCarver') normal 1
Node_4d(x=114, y=293, floor='LL', building='RoyCarver') Node_4d(x=113, y=285, floor='LL', building='RoyCarver') normal 1
Node_4d(x=114, y=293, floor='LL', building='RoyCarver') Node_4d(x=121, y=288, floor='LL', building='RoyCarver') normal 1
Node_4d(x=114, y=293, floor='LL', building='RoyCarver') Node_4d(x=107, y=302, floor='LL', building='RoyCarver') normal 1
Node_4d(x=114, y=293, floor='LL', building='RoyCarver') Node_4d(x=101, y=297, floor='LL', building='RoyCarver') normal 1
Node_4d(x=115, y=150, floor='LL', building='RoyCarver') Node_4d(x=115, y=150, floor='LL', building='RoyCarver') normal 1
Node_4d(x=115, y=150, floor='LL', building='RoyCarver') Node_4d(x=118, y=143, floor='LL', building='RoyCarver') normal 1
Node_4d(x=115, y=150, floor='LL', building='RoyCarver') Node_4d(x=107, y=153, floor='LL', building='RoyCarver') normal 1
Node_4d(x=115, y=150, floor='LL', building='RoyCarver') Node_4d(x=107, y=144, floor='LL', building='RoyCarver') normal 1
Node_4d(x=115, y=150, floor='LL', building='RoyCarver') Node_4d(x=119, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=118, y=183, floor='LL', building='RoyCarver') Node_4d(x=118, y=183, floor='LL', building='RoyCarver') normal 1
Node_4d(x=118, y=183, floor='LL', building='RoyCarver') Node_4d(x=121, y=192, floor='LL', building='RoyCarver') door 1000
Node_4d(x=122, y=103, floor='LL', building='RoyCarver') Node_4d(x=122, y=103, floor='LL', building='RoyCarver') normal 1
Node_4d(x=122, y=103, floor='LL', building='RoyCarver') Node_4d(x=130, y=102, floor='LL', building='RoyCarver') normal 1
Node_4d(x=122, y=103, floor='LL', building='RoyCarver') Node_4d(x=113, y=103, floor='LL', building='RoyCarver') normal 1
Node_4d(x=127, y=170, floor='LL', building='RoyCarver') Node_4d(x=127, y=170, floor='LL', building='RoyCarver') normal 1
Node_4d(x=127, y=170, floor='LL', building='RoyCarver') Node_4d(x=121, y=164, floor='LL', building='RoyCarver') normal 1
Node_4d(x=127, y=170, floor='LL', building='RoyCarver') Node_4d(x=128, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=127, y=183, floor='LL', building='RoyCarver') Node_4d(x=127, y=183, floor='LL', building='RoyCarver') normal 1
Node_4d(x=127, y=183, floor='LL', building='RoyCarver') Node_4d(x=130, y=192, floor='LL', building='RoyCarver') door 1000
Node_4d(x=127, y=183, floor='LL', building='RoyCarver') Node_4d(x=121, y=192, floor='LL', building='RoyCarver') door 1000
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=130, y=210, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=123, y=213, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=133, y=217, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=131, y=202, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=138, y=205, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=140, y=213, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=210, floor='LL', building='RoyCarver') Node_4d(x=123, y=201, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=130, y=237, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=123, y=240, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=137, y=234, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=130, y=246, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=137, y=243, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=130, y=226, floor='LL', building='RoyCarver') normal 1
Node_4d(x=130, y=237, floor='LL', building='RoyCarver') Node_4d(x=121, y=226, floor='LL', building='RoyCarver') normal 1
Node_4d(x=132, y=150, floor='LL', building='RoyCarver') Node_4d(x=132, y=150, floor='LL', building='RoyCarver') normal 1
Node_4d(x=132, y=150, floor='LL', building='RoyCarver') Node_4d(x=135, y=143, floor='LL', building='RoyCarver') normal 1
Node_4d(x=132, y=150, floor='LL', building='RoyCarver') Node_4d(x=139, y=153, floor='LL', building='RoyCarver') normal 1
Node_4d(x=132, y=150, floor='LL', building='RoyCarver') Node_4d(x=124, y=152, floor='LL', building='RoyCarver') door 1000
Node_4d(x=132, y=150, floor='LL', building='RoyCarver') Node_4d(x=128, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=132, y=150, floor='LL', building='RoyCarver') Node_4d(x=124, y=143, floor='LL', building='RoyCarver') normal 1
Node_4d(x=132, y=304, floor='LL', building='RoyCarver') Node_4d(x=132, y=304, floor='LL', building='RoyCarver') normal 1
Node_4d(x=132, y=304, floor='LL', building='RoyCarver') Node_4d(x=134, y=297, floor='LL', building='RoyCarver') door 1000
Node_4d(x=137, y=182, floor='LL', building='RoyCarver') Node_4d(x=137, y=182, floor='LL', building='RoyCarver') normal 1
Node_4d(x=137, y=182, floor='LL', building='RoyCarver') Node_4d(x=139, y=192, floor='LL', building='RoyCarver') door 1000
Node_4d(x=140, y=304, floor='LL', building='RoyCarver') Node_4d(x=140, y=304, floor='LL', building='RoyCarver') normal 1
Node_4d(x=140, y=304, floor='LL', building='RoyCarver') Node_4d(x=142, y=295, floor='LL', building='RoyCarver') door 1000
Node_4d(x=140, y=304, floor='LL', building='RoyCarver') Node_4d(x=134, y=297, floor='LL', building='RoyCarver') door 1000
Node_4d(x=143, y=170, floor='LL', building='RoyCarver') Node_4d(x=143, y=170, floor='LL', building='RoyCarver') normal 1
Node_4d(x=143, y=170, floor='LL', building='RoyCarver') Node_4d(x=136, y=167, floor='LL', building='RoyCarver') normal 1
Node_4d(x=143, y=170, floor='LL', building='RoyCarver') Node_4d(x=149, y=164, floor='LL', building='RoyCarver') normal 1
Node_4d(x=143, y=170, floor='LL', building='RoyCarver') Node_4d(x=146, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=143, y=289, floor='LL', building='RoyCarver') Node_4d(x=143, y=289, floor='LL', building='RoyCarver') normal 1
Node_4d(x=143, y=289, floor='LL', building='RoyCarver') Node_4d(x=142, y=295, floor='LL', building='RoyCarver') door 1000
Node_4d(x=143, y=289, floor='LL', building='RoyCarver') Node_4d(x=134, y=291, floor='LL', building='RoyCarver') normal 1
Node_4d(x=143, y=289, floor='LL', building='RoyCarver') Node_4d(x=150, y=296, floor='LL', building='RoyCarver') door 1000
Node_4d(x=144, y=150, floor='LL', building='RoyCarver') Node_4d(x=144, y=150, floor='LL', building='RoyCarver') normal 1
Node_4d(x=144, y=150, floor='LL', building='RoyCarver') Node_4d(x=146, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=147, y=202, floor='LL', building='RoyCarver') Node_4d(x=147, y=202, floor='LL', building='RoyCarver') normal 1
Node_4d(x=147, y=202, floor='LL', building='RoyCarver') Node_4d(x=152, y=202, floor='LL', building='RoyCarver') door 1000
Node_4d(x=149, y=138, floor='LL', building='RoyCarver') Node_4d(x=149, y=138, floor='LL', building='RoyCarver') normal 1
Node_4d(x=149, y=138, floor='LL', building='RoyCarver') Node_4d(x=152, y=145, floor='LL', building='RoyCarver') normal 1
Node_4d(x=149, y=138, floor='LL', building='RoyCarver') Node_4d(x=145, y=130, floor='LL', building='RoyCarver') normal 1
Node_4d(x=152, y=149, floor='LL', building='RoyCarver') Node_4d(x=152, y=149, floor='LL', building='RoyCarver') normal 1
Node_4d(x=152, y=149, floor='LL', building='RoyCarver') Node_4d(x=155, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=152, y=289, floor='LL', building='RoyCarver') Node_4d(x=152, y=289, floor='LL', building='RoyCarver') normal 1
Node_4d(x=152, y=289, floor='LL', building='RoyCarver') Node_4d(x=150, y=296, floor='LL', building='RoyCarver') door 1000
Node_4d(x=152, y=289, floor='LL', building='RoyCarver') Node_4d(x=159, y=285, floor='LL', building='RoyCarver') normal 1
Node_4d(x=152, y=304, floor='LL', building='RoyCarver') Node_4d(x=152, y=304, floor='LL', building='RoyCarver') normal 1
Node_4d(x=152, y=304, floor='LL', building='RoyCarver') Node_4d(x=142, y=295, floor='LL', building='RoyCarver') door 1000
Node_4d(x=153, y=117, floor='LL', building='RoyCarver') Node_4d(x=153, y=117, floor='LL', building='RoyCarver') normal 1
Node_4d(x=153, y=117, floor='LL', building='RoyCarver') Node_4d(x=154, y=109, floor='LL', building='RoyCarver') normal 1
Node_4d(x=153, y=117, floor='LL', building='RoyCarver') Node_4d(x=154, y=125, floor='LL', building='RoyCarver') normal 1
Node_4d(x=153, y=117, floor='LL', building='RoyCarver') Node_4d(x=145, y=119, floor='LL', building='RoyCarver') normal 1
Node_4d(x=153, y=117, floor='LL', building='RoyCarver') Node_4d(x=161, y=114, floor='LL', building='RoyCarver') normal 1
Node_4d(x=153, y=117, floor='LL', building='RoyCarver') Node_4d(x=145, y=110, floor='LL', building='RoyCarver') normal 1
Node_4d(x=155, y=212, floor='LL', building='RoyCarver') Node_4d(x=155, y=212, floor='LL', building='RoyCarver') normal 1
Node_4d(x=155, y=212, floor='LL', building='RoyCarver') Node_4d(x=162, y=207, floor='LL', building='RoyCarver') normal 1
Node_4d(x=155, y=212, floor='LL', building='RoyCarver') Node_4d(x=163, y=215, floor='LL', building='RoyCarver') normal 1
Node_4d(x=155, y=212, floor='LL', building='RoyCarver') Node_4d(x=152, y=202, floor='LL', building='RoyCarver') door 1000
Node_4d(x=155, y=212, floor='LL', building='RoyCarver') Node_4d(x=144, y=211, floor='LL', building='RoyCarver') normal 1
Node_4d(x=158, y=177, floor='LL', building='RoyCarver') Node_4d(x=158, y=177, floor='LL', building='RoyCarver') normal 1
Node_4d(x=158, y=177, floor='LL', building='RoyCarver') Node_4d(x=161, y=170, floor='LL', building='RoyCarver') normal 1
Node_4d(x=158, y=177, floor='LL', building='RoyCarver') Node_4d(x=161, y=184, floor='LL', building='RoyCarver') normal 1
Node_4d(x=158, y=177, floor='LL', building='RoyCarver') Node_4d(x=149, y=180, floor='LL', building='RoyCarver') normal 1
Node_4d(x=158, y=177, floor='LL', building='RoyCarver') Node_4d(x=154, y=167, floor='LL', building='RoyCarver') normal 1
Node_4d(x=160, y=144, floor='LL', building='RoyCarver') Node_4d(x=160, y=144, floor='LL', building='RoyCarver') normal 1
Node_4d(x=160, y=144, floor='LL', building='RoyCarver') Node_4d(x=159, y=136, floor='LL', building='RoyCarver') normal 1
Node_4d(x=160, y=144, floor='LL', building='RoyCarver') Node_4d(x=156, y=151, floor='LL', building='RoyCarver') normal 1
Node_4d(x=160, y=144, floor='LL', building='RoyCarver') Node_4d(x=164, y=152, floor='LL', building='RoyCarver') normal 1
Node_4d(x=162, y=202, floor='LL', building='RoyCarver') Node_4d(x=162, y=202, floor='LL', building='RoyCarver') normal 1
Node_4d(x=162, y=202, floor='LL', building='RoyCarver') Node_4d(x=152, y=202, floor='LL', building='RoyCarver') door 1000
Node_4d(x=162, y=202, floor='LL', building='RoyCarver') Node_4d(x=162, y=192, floor='LL', building='RoyCarver') door 1000
Node_4d(x=163, y=280, floor='LL', building='RoyCarver') Node_4d(x=163, y=280, floor='LL', building='RoyCarver') normal 1
Node_4d(x=163, y=280, floor='LL', building='RoyCarver') Node_4d(x=155, y=281, floor='LL', building='RoyCarver') normal 1
Node_4d(x=163, y=280, floor='LL', building='RoyCarver') Node_4d(x=162, y=272, floor='LL', building='RoyCarver') normal 1
Node_4d(x=163, y=280, floor='LL', building='RoyCarver') Node_4d(x=171, y=281, floor='LL', building='RoyCarver') normal 1
Node_4d(x=163, y=304, floor='LL', building='RoyCarver') Node_4d(x=163, y=304, floor='LL', building='RoyCarver') normal 1
Node_4d(x=163, y=304, floor='LL', building='RoyCarver') Node_4d(x=158, y=295, floor='LL', building='RoyCarver') door 1000
Node_4d(x=169, y=289, floor='LL', building='RoyCarver') Node_4d(x=169, y=289, floor='LL', building='RoyCarver') normal 1
Node_4d(x=169, y=289, floor='LL', building='RoyCarver') Node_4d(x=162, y=285, floor='LL', building='RoyCarver') normal 1
Node_4d(x=169, y=289, floor='LL', building='RoyCarver') Node_4d(x=166, y=296, floor='LL', building='RoyCarver') door 1000
Node_4d(x=169, y=289, floor='LL', building='RoyCarver') Node_4d(x=181, y=296, floor='LL', building='RoyCarver') door 1000
Node_4d(x=170, y=239, floor='LL', building='RoyCarver') Node_4d(x=170, y=239, floor='LL', building='RoyCarver') normal 1
Node_4d(x=170, y=239, floor='LL', building='RoyCarver') Node_4d(x=171, y=226, floor='LL', building='RoyCarver') door 1000
Node_4d(x=172, y=165, floor='LL', building='RoyCarver') Node_4d(x=172, y=165, floor='LL', building='RoyCarver') normal 1
Node_4d(x=172, y=165, floor='LL', building='RoyCarver') Node_4d(x=171, y=173, floor='LL', building='RoyCarver') normal 1
Node_4d(x=172, y=165, floor='LL', building='RoyCarver') Node_4d(x=174, y=157, floor='LL', building='RoyCarver') normal 1
Node_4d(x=172, y=165, floor='LL', building='RoyCarver') Node_4d(x=165, y=159, floor='LL', building='RoyCarver') normal 1
Node_4d(x=173, y=300, floor='LL', building='RoyCarver') Node_4d(x=173, y=300, floor='LL', building='RoyCarver') normal 1
Node_4d(x=173, y=300, floor='LL', building='RoyCarver') Node_4d(x=170, y=307, floor='LL', building='RoyCarver') normal 1
Node_4d(x=173, y=300, floor='LL', building='RoyCarver') Node_4d(x=181, y=296, floor='LL', building='RoyCarver') door 1000
Node_4d(x=173, y=300, floor='LL', building='RoyCarver') Node_4d(x=166, y=296, floor='LL', building='RoyCarver') door 1000
Node_4d(x=174, y=94, floor='LL', building='RoyCarver') Node_4d(x=174, y=94, floor='LL', building='RoyCarver') normal 1
Node_4d(x=174, y=94, floor='LL', building='RoyCarver') Node_4d(x=171, y=104, floor='LL', building='RoyCarver') door 1000
Node_4d(x=174, y=263, floor='LL', building='RoyCarver') Node_4d(x=174, y=263, floor='LL', building='RoyCarver') normal 1
